issueKey,cluster,title
MDL-23646,0,"TinyMCE can't be resized and doesn't scroll for wide content, especially on small screens"
MDL-34209,0,Moving sections by drag and drop causes the sections to be reordered
MDL-34496,0,issue(s) with custom block regions
MDL-35423,0,Activity chooser links and toolbox links not correctly created if you don't have a wrapper div called #page-content
MDL-37023,0,Dock JS incorrectly parses region ID
MDL-38325,0,maximise/minimise button to hide the lateral blocks/dock
MDL-38693,0,WYSIWYG Editor cuts off content in full screen mode
MDL-38923,0,Cannot dock blocks with Bootstrapbase/clean theme
MDL-39227,0,SCORM navigation panel is hidden when bootstrap theme is active
MDL-39675,0,Text overlap in HTMLEditor in Bootstrap theme
MDL-39715,0,Mobile-friendly way to display blocks on small screen
MDL-39736,0,SCORM content section is too narrow on narrow screen devices
MDL-39737,0,SCORM does not reflow on resize/orientation change
MDL-39748,0,Make input boxes' size consistent and not overlapping with the next level in Assignment advanced grading.
MDL-39776,0,Adding new block doesn't automatically add the block to the page.
MDL-39779,0,Fix alignment for required field (red *) on creating new wiki page
MDL-39792,0,Editor goes under right-hand blocks on smaller screens
MDL-39812,0,Long Breadcrumbs get wrapped on narrow screens when using Clean Theme
MDL-39813,0,Login page is overly verbose for a mobile device
MDL-39817,0,Grading is not mobile friendly
MDL-39884,0,Improvement: have the header on bootstrapbase remain onscreen when scrolling on mobile devices.
MDL-40205,0,Long Block Titles Overflow in Clean
MDL-40685,0,META: Add/rescale headings for activities and resources page
MDL-40693,0,Make Bootstrapbase breadcrumb seperator respect $THEME->rarrow
MDL-40722,0,Clean theme: Resizing 3 column page with all blocks on the left is not displayed correctly
MDL-40786,0,"User's description fields should be aligned to the right and spaced out, when in RTL mode (theme/clean, bootstrapbase)"
MDL-40833,0,One topic at a time should use a heading tag for the topic heading
MDL-40932,0,Tabbing through links on course page (and others) does not work on Mac Firefox and Mac Safari (and maybe more)
MDL-41214,0,Docked blocks zindex puts them on top of fullscreen dialogs
MDL-41379,0,button alignment on course outcome screen is wonky in Clean
MDL-41438,0,Change core renderer methods to produce plain headings by default.
MDL-41481,0,Background scrolling is not locked when using activity chooser in a mobile device with clean theme
MDL-41505,0,Clean theme: Section visibility icon disappears on narrow screens
MDL-41551,0,Block drag/drop broken for clean theme on /my
MDL-41569,0,Remove nowrap from .flexible th
MDL-41615,0,Fix heading level for Quiz
MDL-41989,0,Fix atto's visual response/appearance for non touch devices
MDL-42026,0,Atto: Styles selector picks up styles from theme which makes it look crazy
MDL-42111,0,Youtube Repository Video Preview is Cut Off
MDL-42195,0,Bootstrap makes all images responsive with no way to disable this behaviour via CSS
MDL-42317,0,TinyMCE editor can overlap with Blocks on New Event Page in Calendar in Clean Theme
MDL-42339,0,Remove double formatting set_title/set_heading over codebase
MDL-42575,0,Revert heading option display for page resource
MDL-42682,0,Fix display alignment and content for forum discussion in Clean theme
MDL-43028,0,Site admin navigation is not expanding on few pages
MDL-43062,0,"Content of label is left-aligned, regardless of alignment chosen"
MDL-43167,0,Frontpage should support the same JavaScript as course pages
MDL-43281,0,blockregion.js doesn't recover properly after not finding region node
MDL-43284,0,Question bank needs some CSS attention
MDL-43723,0,Users drag&drop the blocks instead of scrolling up/down.
MDL-43994,0,Hide drag/drop icon for docked blocks
MDL-44000,0,Atto: Image sizes should keep proportions when resizing
MDL-44042,0,Keyboard drag/drop does not correctly move items to the top of current parent
MDL-44215,0,Atto: Toolbar should wrap on several lines
MDL-44217,0,The link colour in Bootstrapbase is not WCAG compliant
MDL-44338,0,"Show move drag handle in header for ""Add a block"" block"
MDL-44771,0,Atto tables with long captions wrap into the table
MDL-45611,0,Question text overlaps other parts of the UI on the edit quiz page.
MDL-45853,0,Document renderer best practices
MDL-45897,0,Add more blocks to the default 'my home' page
MDL-46206,0,Alt image in footer is incorrectly repeated
MDL-46346,0,coding style problems in blog
MDL-46772,0,html_writer::table Ignore attributes for rows
MDL-46777,0,"Improve behaviour of grader header, footer and sidebar on iOS 8 + IE"
MDL-46920,0,Data-target does nothing
MDL-46950,0,Re-organised CSS of the grader report
MDL-46988,0,Fix RTL styling of the new grader report
MDL-47053,0,Add floating title for the footer
MDL-47063,0,Classes .overridden and .ajaxoverridden are not changing the styles
MDL-47242,0,Fix nested custom_menu responsive display
MDL-47244,0,Dividers don't display well in responsive layouts
MDL-26244,1,'Choose a link' for database URL field gives confusing message
MDL-35930,1,Filepicker and file manager view files buttons do not announce change on the page
MDL-35931,1,Filepicker selecting a repository does not announce a change in the modal
MDL-35934,1,File manager selecting file does not announce that the file modal opened
MDL-36836,1,Alfresco select box broken in Chrome.
MDL-38903,1,File manager form elements size
MDL-39608,1,Width thresholds for form labels in the Clean Theme need to be higher.
MDL-39749,1,Popup as File picker/Activity chooser should be mobile friendly
