museum_id,cluster,name,city
27315,0,Pernova Nature House,Pärnu
31335,0,The Art Gallery of the Narva Museum,Narva
8853,0,The Red Tower,Pärnu
9217,0,Museum of New Art in Pärnu,Pärnu
9223,0,The Koidula Museum,Pärnu
15570,1,Palmse Manor,Palmse
19491,1,MOMU Motorsports Museum(temporarily closed),Turba
19495,1,The Wittenstein Time Center,Paide
19499,1,The Wittenstein Activity Center,Paide
30897,1,Pokuland,Urvaste
34174,1,Padise Monastery Visitor Centre,Padise
8930,1,Amandus Adamson Studio Museum,Paldiski
9120,1,Palamuse O. Luts’s Parish School Museum,Palamuse
9231,1,The Rudolf Tobias House Museum,Selja
9244,1,Obinitsa  Museum,Obinitsa
12735,2,The Under and Tuglas Literature Centre of the Estonian Academy of Sciences,Tallinn
12771,2,The Kai Art Center,Tallinn
12921,2,The PROTO Invention Factory,Tallinn
14252,2,The Tallinn Art Hall Lasnamäe Pavilion,Tallinn
14285,2,Peter the Great’s House,Tallinn
14456,2,Maarjamäe Palace,Tallinn
14475,2,Film Museum,Tallinn
14524,2,Estonian Theatre and Music Museum,Tallinn
14536,2,The Great Guild Hall,Tallinn
19487,2,Eduard Vilde Museum,Tallinn
19625,2,Adamson-Eric Museum,Tallinn
19641,2,Kadriorg Art Museum,Tallinn
19704,2,Gallery Seek,Tallinn
21129,2,Museum of Photography,Tallinn
29971,2,The Banned Books Museum,Tallinn
33288,2,Energy Discovery Center,Tallinn
8890,2,Contemporary Art Museum of Estonia,Tallinn
8914,2,Computer Museum,Tallinn
8984,2,Estonian Health Museum,Tallinn
9069,2,Estonian Applied Art and Design Museum,Tallinn
9110,2,The Estonian Museum of Natural History,Tallinn
9158,2,Estonian Open Air Museum,Tallinn
9175,2,Estonian Museum of Architecture,Tallinn
9246,2,Museum of Puppetry Arts,Tallinn
9262,2,Seaplane Harbour – The Estonian Maritime Museum,Tallinn
12796,3,KGB Prison Cells in Tallinn,Tallinn
12874,3,The Vabamu Museum of Occupations and Freedom,Tallinn
15044,3,Juhan Kuus Documentary Photo Centre,Tallinn
19341,3,Kiek in de Kök Fortification Museum,Tallinn
19479,3,Mati Unt Museum,Tallinn
19483,3,Tammsaare’s Apartment-Museum in Tallinn,Tallinn
19644,3,Kumu Art Museum,Tallinn
19680,3,Mikkel Museum,Tallinn
20323,3,Children&#8217;s Museum Miiamilla,Tallinn
33316,3,Nõmme Museum,Tallinn
8827,3,Tallinn Museum of Orders of Knighthood,Tallinn
8873,3,The People’s Museum of Tallinn,Tallinn
9030,3,Kalamaja Museum,Tallinn
9124,3,The Museum and Visitor Centre of Fat Margaret,Tallinn
9229,3,Tallinn City Life Museum,Tallinn
25373,4,Estonian Bicycle Museum,Väätsa
